"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2012",1.859894,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2013",2.031822,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2014",2.047533,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2015",2.057458,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2016",2.064863,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2017",2.171843,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2018",2.196439,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2019",1.8948153,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","1995",32.636823,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","1996",33.99215,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","1997",35.000215,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","1998",37.607302,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","1999",39.114385,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2000",40.914679,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2001",43.062092,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2002",42.181915,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2003",42.091792,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2004",42.568425,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2005",44.426067,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2006",45.460283,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2007",44.646054,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2008",44.244091,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2009",39.689701,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2010",39.525628,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2011",35.392401,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2012",35.922024,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2013",34.607634,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2014",34.088184,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2015",35.339777,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2016",36.91126,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2017",35.692587,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2018",35.273544,
"IRL","AIREMISSION","CO2","MLN_TONNE","A","2019",33.3885397,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","1995",401.104969,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","1996",398.163469,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","1997",401.287301,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","1998",411.832176,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","1999",417.730612,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2000",420.436632,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2001",420.18139,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2002",427.183051,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2003",445.257756,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2004",454.994798,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2005",456.431826,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2006",449.184459,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2007",441.461104,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2008",428.854473,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2009",383.717096,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2010",391.99233,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2011",384.107414,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2012",366.677218,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2013",337.575729,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2014",319.155267,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2015",329.662166,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2016",325.657076,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2017",321.481224,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2018",317.141123,
"ITA","AIREMISSION","CO2","MLN_TONNE","A","2019",302.7753574,
"JPN","AIREMISSION","CO2","MLN_TONNE","A","1995",1130.646765,
"JPN","AIREMISSION","CO2","MLN_TONNE","A","1996",1143.670145,
"JPN","AIREMISSION","CO2","MLN_TONNE","A","1997",1134.062849,
"JPN","AIREMISSION","CO2","MLN_TONNE","A","1998",1095.8931,
